Facility ID,State,Hospitalization type,Payment comparison,Denominator,Payment,Value of care
100248,FL,heart failure,Greater,486,20302,Average Mortality
280105,NE,pneumonia,No Different,128,17694,Average Mortality
360218,OH,heart failure,No Different,335,16975,Average Mortality
50568,CA,hip/knee replacement,No Different,48,20582,Average Complications
40119,AR,heart failure,No Different,363,17901,Average Mortality
50526,CA,heart attack,No Different,31,25089,Average Mortality
330261,NY,heart failure,No Different,266,18605,Average Mortality
140258,IL,heart attack,No Different,182,28111,Average Mortality
50128,CA,hip/knee replacement,Greater,269,22323,Average Complications
110111,GA,hip/knee replacement,No Different,34,23316,Average Complications
310047,NJ,heart attack,No Different,103,25791,Average Mortality
310017,NJ,hip/knee replacement,Greater,165,22200,Average Complications
360032,OH,heart attack,No Different,30,23910,Average Mortality
371321,OK,pneumonia,Less,87,15856,Average Mortality
110092,GA,pneumonia,No Different,84,16534,Average Mortality
70022,CT,hip/knee replacement,No Different,646,21564,Average Complications
160058,IA,pneumonia,No Different,407,18207,Average Mortality
160082,IA,heart attack,Less,569,23981,Average Mortality
30064,AZ,pneumonia,No Different,363,19161,Average Mortality
230002,MI,pneumonia,No Different,604,18289,Average Mortality
50534,CA,pneumonia,No Different,138,18502,Average Mortality
60071,CO,hip/knee replacement,Less,213,18723,Average Complications
60013,CO,hip/knee replacement,Less,193,18125,Average Complications
230024,MI,pneumonia,Greater,273,20895,Average Mortality
250031,MS,heart attack,No Different,160,23462,Average Mortality
50022,CA,hip/knee replacement,No Different,69,22592,Average Complications
360125,OH,heart failure,No Different,273,17999,Average Mortality
41309,AR,pneumonia,No Different,101,17637,Average Mortality
50663,CA,pneumonia,Greater,357,24901,Better Mortality
30016,AZ,heart attack,No Different,166,24566,Average Mortality
230207,MI,pneumonia,No Different,188,19858,Average Mortality
60124,CO,hip/knee replacement,Less,1170,18352,Average Complications
150030,IN,heart failure,No Different,134,17819,Average Mortality
170086,KS,heart failure,Greater,834,18946,Average Mortality
100268,FL,heart failure,Greater,254,19172,Average Mortality
361320,OH,pneumonia,No Different,99,17302,Average Mortality
170146,KS,heart attack,No Different,165,26027,Average Mortality
310022,NJ,heart failure,Greater,1237,19591,Average Mortality
170014,KS,pneumonia,No Different,209,18962,Average Mortality
10112,AL,pneumonia,No Different,70,18588,Average Mortality
370227,OK,pneumonia,No Different,149,17269,Average Mortality
161367,IA,hip/knee replacement,No Different,98,19908,Average Complications
360006,OH,hip/knee replacement,Less,1825,18342,Average Complications
340126,NC,pneumonia,No Different,560,18226,Average Mortality
161312,IA,pneumonia,No Different,40,18268,Average Mortality
281336,NE,hip/knee replacement,Less,101,19334,Average Complications
10001,AL,heart attack,No Different,574,24934,Average Mortality
340064,NC,pneumonia,No Different,242,19035,Average Mortality
110153,GA,hip/knee replacement,No Different,101,22458,Average Complications
270049,MT,heart attack,Greater,300,29519,Average Mortality
190011,LA,pneumonia,No Different,55,18272,Average Mortality
190064,LA,heart attack,No Different,263,25539,Average Mortality
240088,MN,pneumonia,No Different,74,16929,Average Mortality
260005,MO,hip/knee replacement,Less,142,19720,Average Complications
180044,KY,pneumonia,No Different,708,18123,Average Mortality
51332,CA,hip/knee replacement,No Different,73,20595,Average Complications
140155,IL,pneumonia,No Different,313,17998,Average Mortality
330119,NY,pneumonia,Greater,599,20621,Better Mortality
240080,MN,hip/knee replacement,No Different,163,20990,Average Complications
330286,NY,heart attack,Greater,355,27562,Average Mortality
40016,AR,heart failure,No Different,196,17432,Average Mortality
101300,FL,pneumonia,Less,50,15830,Average Mortality
320009,NM,heart attack,No Different,386,24867,Average Mortality
330169,NY,pneumonia,Greater,966,20085,Average Mortality
30083,AZ,hip/knee replacement,Less,179,17667,Average Complications
320016,NM,hip/knee replacement,No Different,96,22128,Average Complications
171380,KS,pneumonia,No Different,253,17477,Average Mortality
360112,OH,pneumonia,Greater,166,20113,Average Mortality
330164,NY,heart failure,Less,320,14567,Average Mortality
140180,IL,heart attack,No Different,111,25690,Average Mortality
360044,OH,heart attack,No Different,26,27483,Average Mortality
181330,KY,pneumonia,No Different,110,18024,Average Mortality
190312,LA,heart failure,No Different,89,17476,Average Mortality
140288,IL,heart failure,Greater,705,20735,Average Mortality
161371,IA,pneumonia,No Different,107,18223,Average Mortality
251312,MS,heart failure,No Different,36,18984,Average Mortality
310092,NJ,heart failure,No Different,136,19124,Average Mortality
50122,CA,hip/knee replacement,Greater,461,21783,Average Complications
360163,OH,hip/knee replacement,Less,2309,18990,Average Complications
50616,CA,heart attack,No Different,48,26844,Average Mortality
360064,OH,hip/knee replacement,No Different,59,22471,Average Complications
151332,IN,pneumonia,No Different,171,18709,Worse Mortality
310038,NJ,pneumonia,Greater,884,20491,Average Mortality
50608,CA,pneumonia,No Different,113,16804,Average Mortality
150001,IN,hip/knee replacement,No Different,40,21642,Average Complications
390013,PA,heart attack,No Different,142,27106,Average Mortality
230054,MI,heart failure,No Different,318,17966,Average Mortality
220100,MA,hip/knee replacement,No Different,738,21327,Average Complications
360159,OH,heart failure,No Different,453,18120,Average Mortality
50283,CA,heart failure,Greater,338,19060,Average Mortality
330394,NY,hip/knee replacement,Less,404,18547,Average Complications
360040,OH,pneumonia,No Different,271,18562,Average Mortality
210002,MD,heart failure,No Different,218,18211,Average Mortality
340008,NC,pneumonia,Less,252,16715,Average Mortality
50289,CA,pneumonia,No Different,304,18345,Average Mortality
140304,IL,heart attack,No Different,70,26413,Average Mortality
230132,MI,heart attack,No Different,110,27673,Average Mortality
360197,OH,pneumonia,No Different,118,17264,Average Mortality
50038,CA,pneumonia,Greater,231,20232,Average Mortality
100122,FL,heart attack,No Different,111,23253,Average Mortality
260023,MO,heart failure,Greater,534,19206,Average Mortality
250004,MS,heart attack,Greater,489,29203,Average Mortality
360079,OH,heart failure,No Different,671,17464,Average Mortality
50380,CA,pneumonia,Greater,790,19474,Average Mortality
30024,AZ,heart failure,No Different,162,18937,Average Mortality
120005,HI,pneumonia,No Different,282,17304,Average Mortality
20001,AK,heart attack,Less,410,23232,Average Mortality
180124,KY,heart attack,No Different,98,26202,Average Mortality
290047,NV,hip/knee replacement,No Different,274,21460,Average Complications
51310,CA,pneumonia,Less,119,14669,Average Mortality
50537,CA,hip/knee replacement,No Different,144,20033,Average Complications
110025,GA,heart attack,No Different,183,24626,Average Mortality
360059,OH,heart attack,Less,102,22365,Average Mortality
330028,NY,hip/knee replacement,Greater,48,25490,Average Complications
310060,NJ,heart attack,No Different,50,26843,Average Mortality
50738,CA,heart failure,No Different,27,20336,Average Mortality
250141,MS,heart failure,No Different,799,18137,Average Mortality
301305,NH,pneumonia,No Different,41,18651,Average Mortality
100314,FL,pneumonia,Less,319,16302,Better Mortality
170110,KS,pneumonia,No Different,54,17601,Average Mortality
210018,MD,heart failure,No Different,339,16981,Average Mortality
251322,MS,pneumonia,No Different,64,19641,Average Mortality
360039,OH,pneumonia,Less,708,16970,Average Mortality
281354,NE,hip/knee replacement,Greater,28,24061,Average Complications
150183,IN,pneumonia,No Different,153,19239,Average Mortality
170006,KS,heart failure,No Different,85,17904,Average Mortality
50441,CA,pneumonia,No Different,600,18205,Better Mortality
100126,FL,heart failure,Greater,158,19880,Average Mortality
330059,NY,heart attack,No Different,386,26457,Average Mortality
41313,AR,heart failure,No Different,29,17235,Average Mortality
230015,MI,heart failure,No Different,72,16076,Average Mortality
161342,IA,pneumonia,No Different,35,17469,Average Mortality
161373,IA,pneumonia,No Different,39,15623,Average Mortality
110025,GA,heart failure,Less,580,15943,Average Mortality
190041,LA,heart attack,No Different,212,24271,Average Mortality
180104,KY,hip/knee replacement,No Different,142,20827,Average Complications
360087,OH,hip/knee replacement,Less,703,18106,Average Complications
50084,CA,hip/knee replacement,No Different,60,22589,Average Complications
360131,OH,pneumonia,No Different,133,18370,Average Mortality
110215,GA,pneumonia,Greater,833,19790,Average Mortality
220090,MA,heart attack,No Different,111,26063,Average Mortality
360150,OH,pneumonia,No Different,131,18412,Average Mortality
140172,IL,pneumonia,No Different,494,18464,Average Mortality
30065,AZ,hip/knee replacement,Less,126,19443,Average Complications
330141,NY,pneumonia,Greater,1010,20839,Average Mortality
260179,MO,heart failure,No Different,818,18467,Average Mortality
361324,OH,heart failure,No Different,41,15672,Average Mortality
50060,CA,pneumonia,No Different,599,18707,Worse Mortality
60100,CO,heart attack,No Different,152,25036,Average Mortality
30093,AZ,pneumonia,Greater,1096,19395,Average Mortality
100035,FL,heart attack,No Different,269,24652,Average Mortality
310039,NJ,hip/knee replacement,No Different,109,22419,Average Complications
40010,AR,pneumonia,No Different,564,18840,Average Mortality
340142,NC,pneumonia,No Different,530,18088,Worse Mortality
200063,ME,heart failure,No Different,173,16726,Average Mortality
100071,FL,heart attack,Less,193,22153,Average Mortality
220101,MA,heart failure,Less,786,16187,Better Mortality
231323,MI,pneumonia,Less,81,16273,Average Mortality
360025,OH,pneumonia,No Different,358,18055,Worse Mortality
260113,MO,heart failure,No Different,276,16849,Average Mortality
50589,CA,heart attack,No Different,28,23663,Average Mortality
41322,AR,heart failure,No Different,41,19790,Average Mortality
51300,CA,pneumonia,No Different,37,18436,Average Mortality
280128,NE,heart failure,No Different,177,18997,Average Mortality
210017,MD,heart attack,No Different,39,25889,Average Mortality
230081,MI,heart failure,No Different,196,17082,Average Mortality
50757,CA,heart failure,Greater,113,20439,Average Mortality
220163,MA,heart attack,Greater,699,28735,Average Mortality
170150,KS,heart failure,No Different,40,16327,Average Mortality
360098,OH,pneumonia,Greater,739,20173,Average Mortality
100022,FL,heart attack,No Different,242,26904,Average Mortality
220126,MA,hip/knee replacement,Greater,172,23747,Average Complications
50309,CA,heart attack,No Different,476,24763,Average Mortality
150005,IN,heart failure,No Different,231,17880,Average Mortality
50189,CA,pneumonia,No Different,40,17798,Average Mortality
10055,AL,hip/knee replacement,No Different,516,20964,Average Complications
340184,NC,pneumonia,No Different,409,18062,Average Mortality
150044,IN,heart failure,Greater,559,19011,Average Mortality
281305,NE,pneumonia,No Different,40,18717,Average Mortality
330085,NY,heart attack,No Different,35,25123,Average Mortality
351328,ND,pneumonia,Less,53,12523,Average Mortality
100206,FL,heart failure,Greater,157,19616,Better Mortality
370023,OK,heart failure,No Different,192,16539,Average Mortality
290003,NV,pneumonia,Greater,462,23606,Average Mortality
150012,IN,heart attack,No Different,189,25150,Average Mortality
360137,OH,heart failure,Greater,323,19054,Better Mortality
191315,LA,pneumonia,No Different,99,19986,Average Mortality
330331,NY,hip/knee replacement,Greater,244,22673,Average Complications
181320,KY,pneumonia,Less,85,14780,Average Mortality
201309,ME,heart failure,No Different,58,16911,Average Mortality
140053,IL,heart attack,No Different,635,26100,Average Mortality
231319,MI,pneumonia,Less,85,15614,Average Mortality
190160,LA,heart attack,No Different,387,24839,Average Mortality
281314,NE,pneumonia,No Different,26,18827,Average Mortality
380014,OR,heart attack,No Different,245,23763,Average Mortality
160146,IA,pneumonia,No Different,393,18477,Worse Mortality
31300,AZ,hip/knee replacement,Less,61,16820,Average Complications
370041,OK,pneumonia,No Different,68,16703,Average Mortality
50121,CA,pneumonia,Less,578,17410,Average Mortality
50551,CA,pneumonia,Greater,389,20868,Average Mortality
10104,AL,heart failure,Greater,500,19262,Average Mortality
310054,NJ,heart attack,No Different,244,26596,Average Mortality
250082,MS,hip/knee replacement,Greater,69,27100,Average Complications
170137,KS,pneumonia,No Different,350,18149,Worse Mortality
340051,NC,heart attack,No Different,91,24945,Average Mortality
50013,CA,heart attack,No Different,204,25266,Average Mortality
110109,GA,pneumonia,No Different,83,17250,Average Mortality
190020,LA,heart attack,No Different,84,24804,Average Mortality
131302,ID,hip/knee replacement,Greater,27,25068,Average Complications
70031,CT,heart attack,No Different,54,24192,Average Mortality
110135,GA,heart failure,No Different,53,18466,Average Mortality
50262,CA,pneumonia,Greater,374,22991,Average Mortality
170049,KS,pneumonia,Less,432,17063,Average Mortality
160110,IA,heart attack,No Different,229,23964,Average Mortality
110051,GA,pneumonia,Less,266,15101,Average Mortality
310113,NJ,hip/knee replacement,Greater,129,23392,Average Complications
370113,OK,heart failure,No Different,76,18772,Average Mortality
140059,IL,hip/knee replacement,No Different,36,21964,Average Complications
260141,MO,pneumonia,Greater,390,19504,Average Mortality
110086,GA,heart failure,No Different,26,16776,Average Mortality
60065,CO,hip/knee replacement,No Different,49,22419,Average Complications
360147,OH,pneumonia,No Different,717,18041,Average Mortality
100150,FL,pneumonia,No Different,123,19881,Average Mortality
230055,MI,pneumonia,No Different,233,17765,Average Mortality
150076,IN,heart attack,No Different,41,24495,Average Mortality
291302,NV,pneumonia,No Different,25,19561,Average Mortality
210033,MD,heart failure,No Different,608,18308,Worse Mortality
180078,KY,heart attack,No Different,36,26290,Average Mortality
330273,NY,hip/knee replacement,No Different,610,21046,Average Complications
141340,IL,heart failure,No Different,50,16752,Average Mortality
160047,IA,heart attack,No Different,143,24759,Average Mortality
340173,NC,heart attack,No Different,80,25391,Average Mortality
220177,MA,pneumonia,Less,72,14521,Average Mortality
60003,CO,hip/knee replacement,Less,231,19758,Average Complications
330246,NY,hip/knee replacement,Greater,627,21798,Average Complications
100006,FL,heart attack,No Different,527,26395,Average Mortality
161328,IA,pneumonia,Greater,49,23265,Average Mortality
301309,NH,heart failure,No Different,83,18462,Average Mortality
100320,FL,heart failure,No Different,129,18165,Average Mortality
50222,CA,hip/knee replacement,Greater,88,24138,Average Complications
360003,OH,heart attack,No Different,127,23562,Average Mortality
370203,OK,hip/knee replacement,Less,847,19987,Average Complications
70020,CT,heart attack,No Different,94,27186,Average Mortality
50503,CA,heart attack,No Different,221,25084,Average Mortality
61317,CO,hip/knee replacement,No Different,38,20524,Average Complications
100256,FL,heart failure,Greater,508,19438,Average Mortality
170190,KS,hip/knee replacement,Less,536,19455,Average Complications
290022,NV,pneumonia,Greater,332,22647,Average Mortality
100296,FL,heart failure,No Different,128,18259,Average Mortality
150048,IN,pneumonia,No Different,738,18162,Average Mortality
330096,NY,heart failure,No Different,89,16480,Average Mortality
50327,CA,pneumonia,Greater,264,20700,Average Mortality
330182,NY,heart failure,Greater,1645,20199,Better Mortality
190125,LA,heart attack,No Different,300,26026,Average Mortality
180011,KY,hip/knee replacement,No Different,111,21911,Average Complications
310032,NJ,heart attack,No Different,346,26716,Average Mortality
100180,FL,heart failure,No Different,103,18009,Average Mortality
170183,KS,hip/knee replacement,Less,1508,17922,Better Complications
180127,KY,heart failure,No Different,190,17794,Average Mortality
100238,FL,heart failure,Greater,331,19078,Average Mortality
41318,AR,pneumonia,No Different,33,21344,Average Mortality
370019,OK,pneumonia,No Different,208,17243,Average Mortality
100055,FL,heart attack,No Different,87,24962,Average Mortality
310110,NJ,heart attack,Greater,111,29940,Average Mortality
131323,ID,hip/knee replacement,Less,226,18718,Average Complications
100110,FL,heart failure,No Different,345,18716,Average Mortality
340183,NC,heart failure,No Different,278,17459,Average Mortality
100026,FL,heart failure,No Different,658,17601,Better Mortality
171352,KS,pneumonia,No Different,36,20668,Average Mortality
250009,MS,heart failure,No Different,387,16896,Average Mortality
150082,IN,heart failure,No Different,1375,17737,Average Mortality
50180,CA,heart failure,No Different,736,17532,Better Mortality
360001,OH,hip/knee replacement,No Different,414,20488,Average Complications
240187,MN,pneumonia,No Different,45,19213,Average Mortality
370097,OK,hip/knee replacement,No Different,96,19740,Average Complications
50195,CA,pneumonia,No Different,745,18821,Average Mortality
10164,AL,heart attack,No Different,30,23794,Average Mortality
100023,FL,hip/knee replacement,Greater,295,23021,Average Complications
50295,CA,heart failure,No Different,154,17987,Average Mortality
50599,CA,hip/knee replacement,Greater,429,21725,Average Complications
140162,IL,heart failure,Less,328,15067,Average Mortality
360076,OH,hip/knee replacement,No Different,77,21891,Average Complications
230077,MI,pneumonia,Greater,333,20287,Worse Mortality
140223,IL,hip/knee replacement,Greater,1553,21789,Average Complications
310008,NJ,hip/knee replacement,Greater,677,21915,Average Complications
380027,OR,heart attack,No Different,163,23595,Average Mortality
